date,sleep_state,011050000,unc_011050000,690550000,unc_690550000,691430104,unc_691430104,692440102,unc_692440102,692660601,unc_692660601,692760102,unc_692760102,692900602,unc_692900602,693830701,unc_693830701,693860503,unc_693860503,693890104,unc_693890104
2019-03-21,awake,2019-03-22 07:45:00,0.33975271577131216,2019-03-22 07:15:00,0.5809909959718824,2019-03-22 07:30:00,0.5974333538170516,2019-03-22 07:30:00,0.7080202362424638,2019-03-22 08:15:00,0.1516309259879721,2019-03-22 07:45:00,0.29311378487718026,2019-03-22 08:30:00,0.24279672395273605,2019-03-22 08:00:00,0.19715152514853695,2019-03-22 08:45:00,1.01805654137544,2019-03-22 08:15:00,0.6383146837606698
2019-03-22,asleep,2019-03-22 22:30:00,0.32014463615382244,2019-03-22 22:30:00,0.47370854111803395,2019-03-22 22:45:00,0.16331247552751493,2019-03-22 22:30:00,0.10844175922667842,2019-03-22 22:45:00,0.48646576671106034,2019-03-22 22:45:00,0.2950444842912706,2019-03-22 23:00:00,0.3461642914861176,2019-03-22 22:15:00,0.2442454586227059,2019-03-22 21:45:00,0.12788328588223963,2019-03-22 22:00:00,0.1615518516025896
2019-03-22,awake,2019-03-23 07:45:00,0.33800146353842403,2019-03-23 07:15:00,0.5622959109867571,2019-03-23 07:30:00,0.6126941993876664,2019-03-23 07:30:00,0.6836119028773939,2019-03-23 08:15:00,0.14776451045435757,2019-03-23 07:45:00,0.28655902635615954,2019-03-23 08:30:00,0.23892642775100914,2019-03-23 08:00:00,0.19646764365901168,2019-03-23 08:45:00,1.01740736097174,2019-03-23 08:15:00,0.6348519943327455
2019-03-23,asleep,2019-03-23 22:30:00,0.3141446081308816,2019-03-23 22:30:00,0.470318024892118,2019-03-23 22:45:00,0.16156120521716935,2019-03-23 22:30:00,0.10981208657911759,2019-03-23 22:45:00,0.4798075032449945,2019-03-23 22:45:00,0.294140127637101,2019-03-23 23:00:00,0.34953244985443277,2019-03-23 22:15:00,0.24971047408491054,2019-03-23 21:45:00,0.1284577311474802,2019-03-23 22:00:00,0.16202010113298818
2019-03-23,awake,2019-03-24 07:45:00,0.3358416060129265,2019-03-24 07:15:00,0.5434147859322673,2019-03-24 07:30:00,0.6279521138021067,2019-03-24 07:30:00,0.6582835207811015,2019-03-24 08:15:00,0.14386572787064217,2019-03-24 07:45:00,0.27980486358391293,2019-03-24 08:30:00,0.23488004164668974,2019-03-24 08:00:00,0.1960254248269572,2019-03-24 08:45:00,0.9142838039550694,2019-03-24 08:15:00,0.6312281762688562
2019-03-24,asleep,2019-03-24 22:30:00,0.30809553129191847,2019-03-24 22:30:00,0.46667525505345164,2019-03-24 22:15:00,0.10405256378519004,2019-03-24 22:30:00,0.11118063362157271,2019-03-24 22:45:00,0.4731338741159231,2019-03-24 22:45:00,0.2930456638258879,2019-03-24 23:00:00,0.3526406029979092,2019-03-24 22:15:00,0.25537520532085123,2019-03-24 21:45:00,0.12912208249802198,2019-03-24 22:00:00,0.16247666881548534
2019-03-24,awake,2019-03-25 07:45:00,0.33369376607949475,2019-03-25 07:15:00,0.5291926817766466,2019-03-25 07:30:00,0.5529907188711382,2019-03-25 07:30:00,0.6326062712489497,2019-03-25 08:15:00,0.14042372798016506,2019-03-25 07:45:00,0.27289105390904056,2019-03-25 08:30:00,0.23066762460246415,2019-03-25 08:00:00,0.1956185082474261,2019-03-25 08:45:00,0.9146663473379253,2019-03-25 08:15:00,0.6274301495960255
2019-03-25,asleep,2019-03-25 22:30:00,0.30198099214168406,2019-03-25 22:30:00,0.4627477522211254,2019-03-25 22:15:00,0.10786334168015212,2019-03-25 22:30:00,0.11255612052999486,2019-03-25 22:45:00,0.4675410543881813,2019-03-25 22:45:00,0.29186500380239644,2019-03-25 23:00:00,0.3549871936641603,2019-03-25 22:15:00,0.2612518872405991,2019-03-25 21:45:00,0.12964372724979745,2019-03-25 22:00:00,0.162922982155646
2019-03-25,awake,2019-03-26 07:45:00,0.3315398074704261,2019-03-26 07:15:00,0.5185131851578275,2019-03-26 07:30:00,0.5708947798186286,2019-03-26 07:30:00,0.6067700425893421,2019-03-26 08:15:00,0.13843913300372204,2019-03-26 07:45:00,0.26590777310559305,2019-03-26 08:30:00,0.2265296521517893,2019-03-26 08:00:00,0.19514808038264939,2019-03-26 08:45:00,0.9142264970099367,2019-03-26 08:15:00,0.6234480268550976
2019-03-26,asleep,2019-03-26 22:30:00,0.29578602199773907,2019-03-26 22:30:00,0.45865969119616723,2019-03-26 22:15:00,0.11175293384168661,2019-03-26 22:30:00,0.11396055682454254,2019-03-26 22:45:00,0.458000395592977,2019-03-26 22:45:00,0.29051607784750866,2019-03-26 23:00:00,0.35648438782450836,2019-03-26 22:15:00,0.2673571988680109,2019-03-26 21:45:00,0.13011178376048962,2019-03-26 22:00:00,0.16336663333743773
